[key]; [value]
Version; 0x03050000
Name; Application.mesure_all
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MAST
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 101
Flags; 16
0.Variable; actualVelocity_1
0.Address.AddrFlags; 0x00000000
0.Class; 8
0.Size; 4
0.GraphColor; 4293821166
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 21024; 121
; 21044; 115
; 21064; 123
; 21084; 81
; 21104; 116
; 21124; 57
; 21144; 136
; 21164; 53
; 21184; 149
; 21204; 39
; 21224; 232
; 21244; 84
; 21264; 214
; 21284; 93
; 21304; 180
; 21324; 127
; 21344; 108
; 21364; 121
; 21384; 76
; 21404; 124
; 21424; 67
; 21444; 121
; 21464; 49
; 21484; 189
; 21504; 52
; 21524; 200
; 21544; 52
; 21564; 215
; 21584; 94
; 21604; 178
; 21624; 110
; 21644; 132
; 21664; 126
; 21684; 96
; 21704; 118
; 21724; 63
; 21744; 130
; 21764; 51
; 21784; 142
; 21804; 44
; 21824; 177
; 21844; 53
; 21864; 220
; 21884; 66
; 21904; 209
; 21924; 104
; 21944; 180
; 21964; 97
; 21984; 101
; 22004; 128
; 22024; 92
; 22044; 124
; 22064; 77
; 22084; 105
; 22104; 62
; 22124; 133
; 22144; 52
; 22164; 192
; 22184; 53
; 22204; 194
; 22224; 45
; 22244; 212
; 22264; 105
; 22284; 193
; 22304; 105
; 22324; 143
; 22344; 130
; 22364; 97
; 22384; 115
; 22404; 76
; 22424; 121
; 22444; 70
; 22464; 123
; 22484; 46
; 22504; 180
; 22524; 48
; 22544; 189
; 22564; 52
; 22584; 213
; 22604; 86
; 22624; 199
; 22644; 95
; 22664; 149
; 22684; 131
; 22704; 132
; 22724; 112
; 22744; 73
; 22764; 127
; 22784; 71
; 22804; 123
; 22824; 58
; 22844; 119
; 22864; 49
; 22884; 173
; 22904; 40
; 22924; 223
; 22944; 67
; 22964; 214
; 22984; 55
; 23004; 192
; 23024; 112
; 23044; 176
; 23064; 113
; 23084; 144
; 23104; 130
; 23124; 102
; 23144; 125
; 23164; 81
; 23184; 124
; 23204; 73
; 23224; 124
; 23244; 50
; 23264; 165
; 23284; 52
; 23304; 165
; 23324; 48
; 23344; 187
; 23364; 59
; 23384; 229
; 23404; 75
; 23424; 213
; 23444; 117
; 23464; 197
; 23484; 101
; 23504; 108
; 23524; 129
; 23544; 108
; 23564; 128
; 23584; 87
; 23604; 111
; 23624; 69
; 23644; 124
; 23664; 53
; 23684; 140
; 23704; 49
; 23724; 153
