V20.3.3.0 Trace: mesure_all
C:\Users\HP\Documents\CoursMines\mecatro\TI_MECATRO_Tricodrisse\minimal_working_example\M241_ILE_2_moteurs_new.project
Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x init_x target_x h_triangle 
132964 -3 -7 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132984 -4 -20 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133004 0 -31 0.0081908786669373512 -0.0022300772834569216 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133024 -7 -13 0.0081908786669373512 0 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133044 -12 3 0.0081908786669373512 -0.00390263507142663 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133064 -23 7 0.0081908786669373512 -0.0066902311518788338 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133084 -47 8 0.0081908786669373512 -0.012822942808270454 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133104 -13 20 0.0081908786669373512 -0.02620340883731842 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133124 -4 47 0.0081908786669373512 -0.0072477511130273342 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133144 -2 39 0.0081908786669373512 -0.0022300772834569216 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133164 5 5 0.0036156214773654938 -0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133184 2 6 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133204 -3 5 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133224 -5 3 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133244 -1 11 0.0036156214773654938 -0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133264 0 -39 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133284 -2 -3 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133304 -1 -4 0.0036156214773654938 -0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133324 -1 5 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133344 -3 -5 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133364 -1 -3 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133384 -2 1 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133404 2 -4 0.0036156214773654938 -0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133424 -3 -4 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133444 0 1 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133464 1 2 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133484 1 0 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
